POINT_ID,SURVEY_SOIL_ORG_CULTIVATED,SURVEY_SOIL_ORG_DEPTH_P_CM,SURVEY_SOIL_ORG_DEPTH_N_CM,SURVEY_SOIL_ORG_DEPTH_E_CM,SURVEY_SOIL_ORG_DEPTH_S_CM,SURVEY_SOIL_ORG_DEPTH_W_CM,SURVEY_SOIL_ORG_DEPTH_P_40_CM,SURVEY_SOIL_ORG_DEPTH_N_40_CM,SURVEY_SOIL_ORG_DEPTH_E_40_CM,SURVEY_SOIL_ORG_DEPTH_S_40_CM,SURVEY_SOIL_ORG_DEPTH_W_40_CM,SURVEY_SOIL_ORG_TAKEN,SURVEY_SOIL_ORG_DEPTH_CANDO
27602150,1,,,,,,1,1,1,1,1,,1
27842394,2,,,,,,1,1,0,1,0,,1
27842416,2,18,23,,21,,0,0,0,0,0,,1
27942164,2,23,16,18,20,14,0,0,0,0,0,,1
28002400,1,,,,,,1,1,0,1,0,,1
28082404,2,30,37,36,,25,0,0,0,0,0,,1
28222378,2,,,,,,1,1,0,1,0,,1
28382290,2,8,6,,10,,0,0,0,0,0,,1
28402378,2,,,,,,1,1,0,1,0,,1
28442408,1,20,21,,21,,0,0,0,0,0,,1
28482386,2,26,33,,29,,0,0,0,0,0,,1
28562440,2,,,,,,1,1,0,1,0,,1
28602334,2,,,,,,1,1,0,1,0,,1
28602366,2,,,,28,,1,1,0,0,0,,1
28642366,2,,,,,,1,1,0,1,0,,1
28742394,2,21,19,,22,22,0,0,0,0,0,,1
28802368,2,,,,,,1,1,1,1,1,,1
28962438,2,7,5,,7,,0,0,0,0,0,,1
29002376,2,,,,,,1,1,1,1,1,,1
29142438,2,,,,,,1,1,1,1,1,,1
29202350,2,,,,,,1,1,1,1,1,,1
29342404,2,,,,,,1,1,1,1,1,,1
29482396,2,,,,,,1,1,0,1,0,,1
30002416,1,,,,,,1,1,0,1,0,,1
30542362,2,5,6,,4,,0,0,0,0,0,,1
30943536,2,15,15,0,13,0,0,0,0,0,0,,1
31003478,2,,40,,,,1,0,0,1,0,,1
31243506,2,,,0,,0,1,1,0,1,0,,1
31503550,2,,,0,,0,1,1,0,1,0,,1
31523558,2,20,41,41,,,0,0,0,0,0,,1
31783686,2,,0,0,,,1,0,0,1,1,,1
32182320,2,,,,,,1,1,0,1,0,,1
32243654,1,,0,,0,,1,0,1,0,1,,1
32262300,2,6,3,6,3,,0,0,0,0,0,,1
32283702,2,,,0,0,0,1,1,0,1,0,,1
32323650,1,20,25,0,20,0,0,0,0,0,0,,1
32323656,2,20,25,0,20,0,0,0,0,0,0,,1
32423468,2,10,5,0,10,0,0,0,0,0,0,,1
32522262,2,9,8,8,9,6,0,0,0,0,0,,1
32563608,1,20,25,0,25,0,0,0,0,0,0,,1
32863656,2,,,0,30,0,1,1,0,0,0,,1
33023682,2,,20,0,30,0,1,0,0,0,0,,1
33082864,2,20,22,23,21,23,0,0,0,0,0,,1
33362270,2,30,24,15,25,26,0,0,0,0,0,,1
33422866,2,8,7,,8,,0,0,0,0,0,,1
33443148,2,20,20,0,20,0,0,0,0,0,0,,1
33503744,2,15,0,0,15,20,0,0,0,0,0,,1
33643198,2,15,15,15,15,10,0,0,0,0,0,,1
33823392,2,5,5,10,,,0,0,0,0,0,,1
33863294,2,20,25,0,25,0,0,0,0,0,0,,1
33863630,2,25,0,30,40,0,0,0,0,0,0,,1
33883766,2,10,10,0,10,0,0,0,0,0,0,,1
33903630,2,,0,0,,,1,0,0,1,1,,1
33922836,2,18,18,,19,,0,0,0,0,0,,1
33983652,2,,,,,,1,0,0,1,1,,1
34103754,2,41,41,0,45,0,0,0,0,0,0,,1
34382782,2,7,4,8,6,9,0,0,0,0,0,,1
34383700,2,,,0,0,,1,1,0,0,1,,1
34623626,2,,20,20,0,0,1,0,0,0,0,,1
34722780,2,11,14,12,8,10,0,0,0,0,0,,1
34843782,2,20,15,0,10,0,0,0,0,0,0,,1
34923766,2,13,14,12,,,,,,,,,1
35062968,1,,,,,,1,1,0,1,0,,1
35203908,2,,,,,,1,1,1,0,0,,1
35223528,2,40,40,40,,,0,0,0,0,0,,1
35363916,2,5,5,,5,,,,,,,,1
35383866,2,,,,,0,1,1,1,1,0,,1
35403550,2,,40,,,,,,,,,,1
35563854,2,,,,,,1,1,1,1,1,,1
35684018,2,27,25,23,,,,,,,,,1
35823214,2,10,20,20,0,0,0,0,0,0,0,,1
35862884,2,10,10,6,15,10,0,0,0,0,0,,1
35903214,2,10,10,10,10,10,0,0,0,0,0,,1
36142788,2,17,11,9,0,0,0,0,0,0,0,,1
36162564,2,14,17,12,15,13,0,0,0,0,0,,1
36562582,2,25,20,15,20,25,0,0,0,0,0,,1
36822540,2,,,,,,1,1,0,1,0,,1
36983250,2,10,5,0,10,0,0,0,0,0,0,,1
37462420,2,30,30,,24,,0,0,0,0,0,,1
38422560,2,,17,15,18,,0,0,0,0,0,,1
38922584,2,15,,,15,15,0,0,0,0,0,,1
39102512,2,2,2,,2,,0,0,0,0,0,,1
39263086,2,9,10,,12,,0,0,0,0,0,,1
39442726,2,5,,4,,6,0,0,0,0,0,,1
39583216,1,40,40,,40,,0,0,,0,,,1
39622514,2,,,,,,1,0,1,0,1,,1
39642470,2,,30,,,,1,0,0,0,1,,1
39662496,2,,,,,,1,1,1,1,1,,1
39743148,2,25,16,,24,,0,0,0,0,0,,1
39802538,2,,20,20,20,20,1,0,0,0,0,,1
39882450,2,1,1,,,1,0,0,0,0,0,,1
39942574,2,13,15,20,20,30,0,0,0,0,0,,1
40122798,1,5,,,,,0,0,0,0,0,,1
40423056,2,16,15,,,30,0,0,0,0,0,,1
40563068,2,,12,,10,10,,,,,,,1
41183328,1,25,28,,30,,,,,,,,1
41243258,2,20,18,,40,,,,,0,,,1
41523334,1,40,40,,40,,,,,,,,1
41603104,2,17,15,,15,,0,,,,,,1
41603342,1,,,,,,1,1,,1,,,1
41782388,1,4,,5,,5,0,0,0,0,0,,1
41783288,2,5,25,,22,,,,,,,,1
41783356,2,40,40,,40,,0,0,,0,,,1
42183148,2,8,10,,10,,,,,,,,1
42243136,1,8,,,,,0,,,,,,1
42283356,1,,,,,,1,1,,1,,,1
42403344,1,0,0,,0,,,,,,,,1
42503180,1,6,,11,,8,,,,,,,1
42503186,1,16,14,,18,,,,,,,,1
42503342,1,,,,,,1,1,,1,,,1
42703640,2,2,2,2,2,2,,,,,,,1
42763506,1,30,20,,30,,,,,,,,1
42903450,1,,,,,15,1,,1,,,,1
43002704,2,,,,,,1,1,,1,,,1
43143802,1,25,25,25,25,25,,,,,,,1
43163742,2,20,20,40,40,20,,,0,0,,,1
43423190,2,10,8,,8,,,,,,,,1
43423808,2,25,25,25,25,25,,,,,,,1
43562776,1,,,,,,1,1,,1,0,,1
43663264,2,5,10,,10,,,,0,,0,,1
43802684,1,18,38,,18,,,,,,,,1
43802766,1,32,33,38,41,41,,,,0,0,,1
43942550,2,,,,,,1,0,0,1,1,,1
43962526,2,3,3,,2,,0,0,0,0,0,,1
44042690,2,10,11,9,13,12,,,,,,,1
44043946,2,41,41,,,41,,,,,,,1
44063962,2,41,41,41,,,,,,,,,1
44083936,2,41,20,,,20,,0,,,,,1
44142686,2,9,11,10,14,6,,,,,,,1
44143298,2,,,,,,1,1,1,1,1,,1
44163950,2,41,,41,41,,,,,,,,1
44304076,2,,,,,,1,1,,1,,,1
44343882,1,20,30,,,30,,,,,,,1
44343932,2,41,,41,41,,,,,,,,1
44384020,2,13,8,,4,,,,,,,,1
44464330,2,25,28,,30,,,,,,,,1
