Point_ID,Revisited_point,Coarse,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Elevation,LC1,LU1,Soil_Stones,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC1_Desc,LU1_Desc
34103754,No,,,,,3.9,3.91,44.2,25.5,0,42.9,2.8,24.6,158,H11,U420,1,UK,UKM,UKM8,UKM81,Inland marshes,Semi-natural and natural areas not in use
34443774,No,,,,,3.1,3.91,46.4,503.5,0,164.9,19.9,460.3,500,H12,U420,1,UK,UKM,UKM7,UKM77,Peatbogs,Semi-natural and natural areas not in use
35163814,No,,,,,4.9,5.48,15.85,51.4,0,26.9,4.3,173.2,404,H11,U420,1,UK,UKM,UKM7,UKM71,Inland marshes,Semi-natural and natural areas not in use
32323656,No,,,,,3,3.76,26.9,470.3,0,102.8,16.1,313,364,H12,U150,1,UK,UKN,UKN1,UKN10,Peatbogs,OTHER PRIMARY PRODUCTION
34463934,No,28,10,46,44,3.9,4.04,28.4,43.1,1,6.3,2.3,38.6,315,D20,U111,2,UK,UKM,UKM6,UKM61,Shrubland without tree cover,Agriculture (excluding fallow land and kitchen gardens)
33983238,No,18,14,36,50,4.2,4.41,41.8,32.4,0,7.5,3.3,48,137,E20,U362,1,UK,UKL,UKL2,UKL22,Grassland without tree/shrub cover,Sport
34043240,No,20,18,35,46,4.9,5.13,32,21.1,1,12.4,2.1,36,131,E20,U111,1,UK,UKL,UKL2,UKL22,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
33723266,No,13,14,36,50,4,4.16,72.4,53.2,0,52.1,4.2,158.5,137,E20,U111,1,UK,UKL,UKL1,UKL17,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
34203268,No,34,19,48,34,3.7,3.87,11.63,16,1,3.7,1,24.4,514,E20,U420,1,UK,UKL,UKL1,UKL16,Grassland without tree/shrub cover,Semi-natural and natural areas not in use
33663268,No,28,8,71,20,4,3.99,22.2,16,1,8.3,1.1,30,232,D10,U420,1,UK,UKL,UKL1,UKL18,Shrubland with sparse tree cover,Semi-natural and natural areas not in use
34123260,No,26,13,39,48,4.7,4.94,35,46.5,0,49.7,3.6,153.1,377,E20,U111,1,UK,UKL,UKL1,UKL16,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
33723292,No,27,22,15,63,4.6,4.79,81.1,40.3,0,75.5,5.2,96.2,152,E20,U111,1,UK,UKL,UKL1,UKL14,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
34163274,No,28,4,79,17,3,3.73,44,506,0,84.1,20.5,197.2,570,D20,U420,1,UK,UKL,UKL2,UKL24,Shrubland without tree cover,Semi-natural and natural areas not in use
33523262,No,23,25,17,58,4.1,4.33,52.9,48.2,0,14.6,4.6,103.6,168,D20,U111,1,UK,UKL,UKL1,UKL18,Shrubland without tree cover,Agriculture (excluding fallow land and kitchen gardens)
34743694,No,33,13,34,53,4.7,4.97,84.7,76.9,1,66.1,7.2,386.3,294,E20,U111,1,UK,UKM,UKM9,UKM95,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
34203250,No,34,17,30,54,3.3,3.56,27.9,52.3,1,22.4,4.3,57.3,441,E20,U111,1,UK,UKL,UKL1,UKL16,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
33683636,No,45,11,44,45,5.3,5.86,14,34.1,0,46.1,3.6,161.3,201,B13,U111,1,UK,UKM,UKM9,UKM92,Barley,Agriculture (excluding fallow land and kitchen gardens)
33983926,No,15,3,79,19,3.4,3.86,143.8,493.7,0,247.5,23.5,358.7,68,C10,U361,1,UK,UKM,UKM6,UKM61,Broadleaved woodland,"Amenities, museum, leisure (e.g. parks, botanical gardens)"
34983634,No,8,10,47,44,4.1,4.33,53.6,48.2,0,19,4.9,103.7,233,E20,U420,1,UK,UKM,UKM9,UKM92,Grassland without tree/shrub cover,Semi-natural and natural areas not in use
33203610,No,45,11,42,46,4.8,4.99,96.8,72.3,1,67.8,6.5,141.9,89,E10,U112,4,UK,UKN,UKN0,UKN09,Grassland with sparse tree/shrub cover,Fallow land
33923826,No,36,6,63,30,3.5,3.78,48,107.2,1,26.1,6.4,67.3,141,C21,U120,4,UK,UKM,UKM6,UKM63,Spruce dominated coniferous woodland,FORESTRY
33623332,No,44,23,20,57,6.3,6.53,41.7,38.8,1,82.7,4.1,388.2,259,E30,U112,2,UK,UKL,UKL1,UKL14,Spontaneously re-vegetated surfaces,Fallow land
34383316,No,23,28,7,65,5.2,5.43,42.1,29.8,1,18,3.5,59.9,300,E20,U111,1,UK,UKG,UKG1,UKG11,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
33923340,No,23,1,90,9,3.1,3.7,74,494.7,0,120.9,20.3,297,598,E20,U420,1,UK,UKL,UKL1,UKL14,Grassland without tree/shrub cover,Semi-natural and natural areas not in use
34083328,No,18,35,8,57,4.3,4.52,48.4,45.2,1,9,5.1,54,441,E20,U111,1,UK,UKL,UKL2,UKL24,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
34543252,No,16,15,36,49,6.5,6.78,39.8,30.4,3,71.8,3.4,176.6,146,E20,U111,1,UK,UKK,UKK1,UKK13,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
34883940,No,21,8,56,37,3.5,4.14,15.12,62.1,0,14.8,2.7,57.2,170,C23,U120,1,UK,UKM,UKM6,UKM61,Other coniferous woodland,FORESTRY
34683874,No,15,5,53,41,3.7,4.55,34.3,180.5,0,54.1,10.8,392.9,642,D20,U150,1,UK,UKM,UKM6,UKM62,Shrubland without tree cover,OTHER PRIMARY PRODUCTION
34823880,No,10,6,55,39,4.5,4.84,24.9,50.6,1,11.1,4.2,117.3,550,D20,U111,1,UK,UKM,UKM6,UKM62,Shrubland without tree cover,Agriculture (excluding fallow land and kitchen gardens)
35623878,No,30,26,21,53,5.9,6.16,26.9,32.3,1,51.3,3,161.6,288,B32,U111,4,UK,UKM,UKM5,UKM50,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens)
36143890,No,12,23,26,51,5.4,5.65,25.3,30.8,0,30.7,3.1,121.1,65,B41,U111,1,UK,UKM,UKM5,UKM50,Dry pulses,Agriculture (excluding fallow land and kitchen gardens)
35523886,No,4,9,37,55,4.1,4.32,56,31.4,0,17.7,3.3,54.7,209,C10,U420,1,UK,UKM,UKM5,UKM50,Broadleaved woodland,Semi-natural and natural areas not in use
35343868,No,58,6,49,45,3.5,4.18,13.16,265.4,1,15.7,8.1,158.1,572,D20,U420,1,UK,UKM,UKM5,UKM50,Shrubland without tree cover,Semi-natural and natural areas not in use
34903806,No,5,8,45,48,5,5.13,70.6,35.1,4,58.4,3.8,70.3,215,E20,U111,1,UK,UKM,UKM7,UKM77,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
34883746,No,8,16,38,46,5.3,5.55,52.4,39.2,1,35.7,4,98.3,265,E20,U111,1,UK,UKM,UKM7,UKM72,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
