Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc,target,predict
0-20 cm,47942860,7.3,7.77,22.3,16.6,2.0,10.5,1.9,279.0,,,,,AT,AT1,AT12,AT125,48.66760092,16.42865737,19-05-18,220,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),3.96212814705766,3.9015934537291814
0-20 cm,47362636,3.7,4.45,6.36,65.0,,-1.0,3.3,88.0,,,,,AT,AT2,AT22,AT225,46.70080052,15.42655909,13-08-18,466,C10,U120,Woodland,Broadleaved woodland,Forestry,3.33846985186421,3.483212153185919
0-20 cm,45622768,4.0,4.41,34.8,52.3,,13.8,4.6,182.4,,,,,AT,AT3,AT32,AT323,47.97821812,13.22754121,29-05-18,545,E30,U120,Grassland,Spontaneously re-vegetated surfaces,Forestry,2.55079076560613,2.8260224297025105
0-20 cm,53242382,5.6,6.33,5.45,20.3,,14.9,1.9,182.7,,,,,BG,BG3,BG31,BG311,43.79231547,22.49764063,11-07-18,327,E10,U420,Grassland,Grassland with sparse tree/shrub cover,Semi-natural and natural areas not in use,4.06359002320664,4.055344326664181
0-20 cm,54422324,4.5,5.41,5.52,13.4,,13.6,1.2,110.4,,,1.3,3.5,BG,BG3,BG31,BG313,43.09199043,23.81732639,29-08-18,440,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),4.44673005096883,4.264923100702134
0-20 cm,56102380,3.7,4.47,6.65,20.9,,17.0,1.6,110.0,,,,,BG,BG3,BG32,BG321,43.28680096,25.97559487,01-09-18,352,C10,U120,Woodland,Broadleaved woodland,Forestry,2.84057101803371,3.0670821776628108
0-20 cm,57122348,4.2,5.0,4.69,17.4,,-1.0,1.4,154.1,,,,,BG,BG3,BG34,BG341,42.80418445,27.12090159,23-09-18,260,C10,U120,Woodland,Broadleaved woodland,Forestry,2.51985358818045,2.9592705814509284
0-20 cm,53902268,5.7,6.18,9.9,35.9,1.0,10.6,2.8,778.4,,,,,BG,BG4,BG41,BG414,42.67919272,23.07609619,31-08-18,898,E10,U420,Grassland,Grassland with sparse tree/shrub cover,Semi-natural and natural areas not in use,4.79802027307058,4.109926122286545
0-20 cm,54922222,6.6,6.7,10.52,28.9,4.0,-1.0,2.1,140.0,,,,,BG,BG4,BG42,BG423,42.1052131,24.20217612,20-09-18,574,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,2.79584729911227,3.2033964396202874
0-10 cm,29061990,6.5,6.68,69.1,14.0,2.0,14.6,1.5,117.1,,,,,ES,ES4,ES43,ES432,39.60937688,-6.531026492,21-05-18,457,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.21866774980905,4.287670585632763
0-20 cm,63681618,7.4,8.16,13.47,2.3,507.0,-1.0,0.8,458.3,,,1.5,0.8,CY,CY0,CY00,CY000,34.89928866,32.5092367,04-10-18,415,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),3.85384256959792,3.8490416935865275
0-20 cm,46623028,5.4,6.1,7.05,3.2,1.0,53.0,0.4,76.0,,,,,CZ,CZ0,CZ02,CZ020,50.26393765,14.78596475,01-08-18,208,B19,U111,Cropland,Other cereals,Agriculture (excluding fallow land and kitchen gardens),3.25454267723172,3.6634674800390106
0-20 cm,46282880,3.8,4.37,6.04,22.9,,45.1,1.6,75.4,,,,,CZ,CZ0,CZ03,CZ031,48.95453917,14.19315539,07-08-18,713,C23,U120,Woodland,Other coniferous woodland,Forestry,3.47647670508641,3.50793135148942
0-20 cm,46642928,4.3,5.28,6.95,20.7,,11.1,1.5,201.1,,,,,CZ,CZ0,CZ03,CZ031,49.36573982,14.72499588,23-07-18,429,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.32606679606548,4.211428147099644
0-20 cm,46163088,2.8,3.34,14.17,109.1,,22.9,4.5,48.7,,,,,CZ,CZ0,CZ04,CZ042,50.8275023,14.1894247,01-08-18,449,C23,U120,Woodland,Other coniferous woodland,Forestry,3.63956984741794,3.5711646328067017
0-20 cm,47083048,3.5,4.02,12.82,66.4,,-1.0,3.6,81.1,,,,,CZ,CZ0,CZ05,CZ052,50.4143898,15.45018216,01-08-18,292,C33,U120,Woodland,Other mixed woodland,Forestry,3.8402516035682,3.693555908959319
0-20 cm,47582914,3.5,3.95,7.87,21.0,,21.8,1.5,50.3,,,,,CZ,CZ0,CZ06,CZ063,49.17863294,15.99985094,07-08-18,495,C33,U120,Woodland,Other mixed woodland,Forestry,2.42517714144116,3.194388990792734
0-20 cm,43162914,4.7,5.25,15.62,29.1,,47.0,3.3,172.4,,,,,DE,DE1,DE11,DE11A,49.33893917,9.931214671,27-05-18,471,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),3.55924424466217,3.6072854681964692
0-20 cm,41823036,6.2,6.59,14.84,22.0,,33.1,2.2,298.8,,,,,DE,DE7,DE72,DE723,50.41928745,8.044049601,24-05-18,133,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),3.18550398892348,3.443886984653927
0-20 cm,42223056,5.2,5.8,7.45,24.9,,17.5,2.7,60.3,,,,,DE,DE7,DE72,DE721,50.60726911,8.601438468,23-05-18,202,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.76553539335678,4.457572143265012
0-20 cm,42323042,6.1,6.52,25.1,17.2,,56.2,2.0,254.2,,,,,DE,DE7,DE72,DE721,50.48305909,8.74603739,23-05-18,220,B18,U111,Cropland,Triticale,Agriculture (excluding fallow land and kitchen gardens),3.73723264182015,3.6638316738082097
0-20 cm,42483154,3.8,4.34,7.07,27.0,,24.4,1.6,43.1,,,,,DE,DE7,DE73,DE736,51.49196437,8.948883656,24-07-18,328,C10,U120,Woodland,Broadleaved woodland,Forestry,3.69053211213233,3.6525613026985586
0-20 cm,42683096,5.0,5.73,8.67,11.7,,37.6,1.1,108.3,,,,,DE,DE7,DE73,DE735,50.97288993,9.245429085,22-09-18,201,B55,U111,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens),4.44446172164621,4.208767698051046
0-20 cm,42763084,3.7,4.3,6.35,21.4,,16.5,1.3,54.1,,,1.4,2.3,DE,DE7,DE73,DE735,50.86570957,9.360804732,22-09-18,296,C10,U120,Woodland,Broadleaved woodland,Forestry,3.81264390150343,3.521492855017907
0-20 cm,42943084,3.8,4.28,6.07,24.0,,11.6,1.2,47.3,,,,,DE,DE7,DE73,DE733,50.86684024,9.616477132,22-09-18,372,C33,U120,Woodland,Other mixed woodland,Forestry,3.01207669850817,3.3858126086342972
