Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc
0-20 cm,47862690,4.1,4.81,8.73,12.4,3,< LOD,1.1,101.9,,,,,AT,AT1,AT11,AT113,47.15023795,16.13421178,06-07-18,291,C23,U120,Woodland,Other coniferous woodland,Forestry
0-20 cm,47882704,4.1,4.93,5.06,16.7,1,< LOD,1.3,51.2,,,,,AT,AT1,AT11,AT113,47.27427248,16.17535859,06-07-18,373,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,47982688,4.1,4.85,12.53,47.5,1,12.3,3.1,114.8,,,,,AT,AT1,AT11,AT113,47.1232602,16.28969291,02-06-18,246,C33,U120,Woodland,Other mixed woodland,Forestry
0-20 cm,48022702,5.5,5.8,21.1,28.1,3,< LOD,2,165.8,,,,,AT,AT1,AT11,AT113,47.24569335,16.35750603,06-07-18,305,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry
0-20 cm,48062708,6.1,6.48,10.89,19.4,2,< LOD,2.2,42.1,,,,,AT,AT1,AT11,AT113,47.29637182,16.41678159,05-07-18,335,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry
0-20 cm,48122730,6.3,6.81,14.46,18,NA,68,2,277.2,,,,,AT,AT1,AT11,AT111,47.48881664,16.52059488,18-06-18,232,B18,U111,Cropland,Triticale,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,48202738,5.8,6.37,17.08,12.5,NA,58.1,1.4,315.5,,,,,AT,AT1,AT11,AT111,47.5541021,16.63555874,18-06-18,283,B32,U111,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,48222780,7.1,7.98,23.55,22.9,96,17.5,2.1,329.1,,,,,AT,AT1,AT11,AT112,47.92869563,16.71115772,21-05-18,136,B82,U111,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,48342774,7.4,8.09,22.61,29.1,86,62.2,2.9,367.8,,,0.9,0.6,AT,AT1,AT11,AT112,47.86505893,16.8638522,26-06-18,115,B32,U111,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,48442784,7.2,7.84,14.94,14.4,3,< LOD,1.6,146.2,,,,,AT,AT1,AT11,AT112,47.94615773,17.00926007,11-06-18,166,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,48462776,7.6,8.15,30.9,21.8,112,22.3,2,220.2,,,,,AT,AT1,AT11,AT112,47.87283272,17.02603165,14-05-18,140,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,48482762,7.4,8.3,23.16,30,271,28.4,2.7,323.3,,,0.4,3.6,AT,AT1,AT11,AT112,47.74578723,17.03536819,03-07-18,118,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,46562790,7.1,7.52,14.82,15.2,1,44.5,1.9,134.4,,,,,AT,AT1,AT12,AT121,48.13164949,14.50151431,07-06-18,355,B55,U111,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,46662780,5.2,5.82,14.37,37.3,NA,20.2,4.2,115.6,,,,,AT,AT1,AT12,AT121,48.03630958,14.62738906,18-05-18,341,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,46662794,3.9,4.74,12.06,41.2,NA,19.4,3.8,294.1,,,,,AT,AT1,AT12,AT121,48.16199724,14.63886538,05-06-18,269,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,46722786,6.4,6.8,15.52,16.9,NA,53.3,2.1,217.6,,,0.7,3.2,AT,AT1,AT12,AT121,48.0867641,14.71266799,05-06-18,352,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,46722792,5.4,5.84,28.2,21,NA,22.3,2.5,227.4,,,0.8,4.9,AT,AT1,AT12,AT121,48.14062552,14.71767565,05-06-18,308,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,46782766,6.8,6.93,46.8,169.8,5,17.8,12.1,524.5,,,,,AT,AT1,AT12,AT121,47.90375685,14.77615139,18-05-18,606,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,46782778,6.3,6.8,19.56,31.7,NA,77.2,3.4,368.6,,,,,AT,AT1,AT12,AT121,48.01148064,14.78625884,18-07-18,464,B55,U111,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,46842852,5.7,6.11,28.4,38.3,NA,14,4.1,405.5,,,,,AT,AT1,AT12,AT124,48.67205479,14.93110419,29-06-18,629,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,46862842,4.9,5.57,5.88,30.6,NA,31.4,3,289.3,,,,,AT,AT1,AT12,AT124,48.5811226,14.94929368,09-06-18,709,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,46942756,6.1,6.39,21.6,79.9,6,< LOD,6.1,145,,,,,AT,AT1,AT12,AT121,47.80449646,14.98089168,08-05-18,688,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,46942842,5.5,6.24,10.85,20.9,NA,59.2,2.3,506.4,,,,,AT,AT1,AT12,AT124,48.57624316,15.05747115,28-07-18,715,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,46942846,3.5,4.05,13.63,72.3,NA,30.2,3.5,148,,,,,AT,AT1,AT12,AT124,48.61213016,15.06110589,01-08-18,623,C23,U120,Woodland,Other coniferous woodland,Forestry
0-20 cm,46942878,3.3,3.78,13.98,45.3,1,18.5,2.6,43.4,,,,,AT,AT1,AT12,AT124,48.89920109,15.09042334,24-07-18,564,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,46982766,4,4.52,17.05,33.9,1,< LOD,2.3,87,,,,,AT,AT1,AT12,AT121,47.89181128,15.04300695,24-05-18,647,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,47002806,4.2,4.85,8.65,55.2,1,< LOD,4.2,69.7,,,,,AT,AT1,AT12,AT121,48.24952676,15.10565784,27-06-18,695,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,47002816,3.3,3.88,12.08,114.6,2,23.4,6.2,94.9,,,,,AT,AT1,AT12,AT121,48.33925149,15.11475237,27-06-18,955,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,47022848,5.5,6.21,11.8,21,NA,75.9,2.4,392,,,,,AT,AT1,AT12,AT124,48.62508246,15.17119945,28-07-18,602,F40,U111,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47022884,3.3,3.94,7.32,36.2,NA,24.9,1.8,51.7,,,,,AT,AT1,AT12,AT124,48.94799358,15.20494258,01-08-18,630,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,47042780,6.1,6.54,20.09,36.2,1,12.5,3.8,172,,,,,AT,AT1,AT12,AT121,48.01373378,15.13568848,16-05-18,424,D20,U120,Shrubland,Shrubland without tree cover,Forestry
0-20 cm,47042788,6.9,7.26,23,81.8,14,< LOD,5.9,155.2,,,,,AT,AT1,AT12,AT121,48.0855196,15.14295123,14-06-18,277,C33,U120,Woodland,Other mixed woodland,Forestry
0-20 cm,47042874,6,6.48,16.19,12.7,1,29.5,1.6,82.5,,,,,AT,AT1,AT12,AT124,48.85703064,15.22270532,23-07-18,516,B21,U111,Cropland,Potatoes,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47082754,7,7.18,39.2,162.9,90,11.2,5.7,89.5,,,,,AT,AT1,AT12,AT121,47.77790891,15.16550245,24-07-18,1123,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,47082776,4.1,4.87,8.29,33.3,1,< LOD,3.1,86.3,,,,,AT,AT1,AT12,AT121,47.97532887,15.18551031,01-06-18,386,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,47082858,4.7,5.28,14.01,12.9,NA,23,1.5,156.1,,,,,AT,AT1,AT12,AT124,48.71096538,15.26185432,01-08-18,591,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47102754,6.9,7.23,47.1,205.1,46,15.9,10,86.3,,,,,AT,AT1,AT12,AT121,47.77664936,15.19212015,24-07-18,1074,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,47122762,7.3,8.05,18.33,13.5,24,11.1,1.3,128.6,,,,,AT,AT1,AT12,AT122,47.84717109,15.22606358,24-07-18,552,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,47122882,6.1,6.59,9.25,12.1,NA,17.8,1.4,96.8,,,,,AT,AT1,AT12,AT124,48.92362338,15.33919359,01-08-18,466,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47182762,6.9,7.37,25.6,112.6,1,< LOD,5.7,134.6,,,,,AT,AT1,AT12,AT122,47.8433281,15.30601701,04-07-18,968,C23,U120,Woodland,Other coniferous woodland,Forestry
0-20 cm,47182802,4.3,4.9,10.42,23.2,2,13.8,1.9,112,,,,,AT,AT1,AT12,AT121,48.20218867,15.34360954,10-07-18,324,C33,U120,Woodland,Other mixed woodland,Forestry
0-20 cm,47182862,4.7,5.33,12.46,18,NA,17.6,1.8,118.7,,,,,AT,AT1,AT12,AT124,48.74033774,15.40128492,01-08-18,569,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47202790,5.5,6.06,14.31,22,NA,42.3,2.7,92.4,,,,,AT,AT1,AT12,AT121,48.09323732,15.35904016,16-05-18,313,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47202848,5.2,5.76,12.97,43.6,NA,22.9,4.2,82.6,,,,,AT,AT1,AT12,AT124,48.61346751,15.41474181,28-05-18,537,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47222878,3.9,4.48,10.79,20.3,1,< LOD,1.5,44.7,,,,,AT,AT1,AT12,AT124,48.8811597,15.47133227,23-07-18,445,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,47242764,6.7,7.01,38.7,147.3,48,< LOD,8.4,131.7,,,,,AT,AT1,AT12,AT122,47.85737019,15.38785093,24-07-18,1029,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,47242774,6.2,6.32,46.3,82.4,12,11.5,6.3,267.8,,,,,AT,AT1,AT12,AT123,47.94708374,15.39733381,29-05-18,676,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,47282790,5.9,6.34,15.86,30.4,NA,35,3.4,55.9,,,,,AT,AT1,AT12,AT123,48.08796703,15.46614489,01-06-18,409,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47302860,3.9,4.72,6.38,37.7,1,< LOD,2,80.9,,,,,AT,AT1,AT12,AT124,48.71438211,15.56199577,06-07-18,10613,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,47322802,7.4,7.98,15.93,14.9,53,29.3,1.4,199.3,,,,,AT,AT1,AT12,AT123,48.19292023,15.53143347,29-05-18,263,E20,U312,Grassland,Grassland without tree/shrub cover,Road transport
0-20 cm,47362808,6.3,6.89,26.62,18,NA,209,2.2,652.7,,,,,AT,AT1,AT12,AT123,48.24402118,15.59103822,24-05-18,301,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
